node_id,timestamp,date,latitude,longitude,rainfall,soil_moisture,slope,elevation,flow_accumulation,ground_tilt,forecast_rainfall,historical_flood_risk,historical_landslide_risk,flood_event,landslide_event
NODE_01,2026-01-01 00:00:00,2026-01-01,27.1,88.1,5.368869529478628,72.73647296812591,30.347787857055664,1719.0,40.99292907334852,-0.0289731637035035,9.066124875658772,0.1140957848879333,0.8923024981396522,0,0
NODE_01,2026-01-01 01:00:00,2026-01-01,27.1,88.1,3.0708175719312862,46.338170987164105,30.347787857055664,1719.0,21.05245568878116,0.0544504990892386,2.639911636024714,0.1512468287349345,0.1853301795287144,0,0
NODE_01,2026-01-01 02:00:00,2026-01-01,27.1,88.1,2.7947635074991366,25.845050168906813,30.347787857055664,1719.0,68.24955750436047,0.0057266683107731,5.779677216337962,0.2253169299512351,0.0789691621908286,0,0
NODE_01,2026-01-01 03:00:00,2026-01-01,27.1,88.1,2.7948092966558,74.40028411492058,30.347787857055664,1719.0,10.140813379328195,0.0475072735499415,2.037771165594803,0.250966661340298,0.2395101699095381,0,0
NODE_01,2026-01-01 04:00:00,2026-01-01,27.1,88.1,11.516288386336026,59.08829748150635,30.347787857055664,1719.0,12.062994039875568,-0.0098976563284165,7.318556135533431,0.8506160578411378,0.7945782787001903,0,0
NODE_01,2026-01-01 05:00:00,2026-01-01,27.1,88.1,6.622224039236843,49.69554064728834,30.347787857055664,1719.0,1.6742887042623569,0.0658639113365592,2.15717420824353,0.5612227882825249,0.0346702667264833,0,0
NODE_01,2026-01-01 06:00:00,2026-01-01,27.1,88.1,2.1884909530479466,83.44480695663152,30.347787857055664,1719.0,50.39175196252081,0.0200671813512394,12.20882950198228,0.5233909113743664,0.5828068350834896,0,0
NODE_01,2026-01-01 07:00:00,2026-01-01,27.1,88.1,5.568896498754692,27.783823761430597,30.347787857055664,1719.0,27.491090310565436,0.1091253512088543,15.7812388869847,0.1147688718692174,0.99543751619131,0,0
NODE_01,2026-01-01 08:00:00,2026-01-01,27.1,88.1,4.34405033775162,54.48375730036014,30.347787857055664,1719.0,3.7366133315518426,-0.0184760808411115,14.238973836150498,0.860139693349435,0.8556960938375394,0,0
NODE_01,2026-01-01 09:00:00,2026-01-01,27.1,88.1,0.2404281575428491,20.79475513371933,30.347787857055664,1719.0,3.460458172172154,0.0102274698045372,6.696589308749638,0.7228143032084837,0.5214456890435895,0,0
